channel_name,channel_id,target_age
백세지혜 라디오,UCL6Zzbr4z7o--eGUuFTWgJg,small
노후구조대,UComLZm2S10ZrzVbJahBnXqQ,small
하늘마을 힐링센터 TV,UCAjG6hYW3bTQIhNMXRZrrUg,large
피카토 Phycato,UCBaf_e26fqirvbTAX2H40Hg,large
책읽는 헬레네,UCt05Ox0ZndGh3rrDaNMx7RA,small
금단미인 GOLDBEAUTY,UC1JRg1-V2hKxEVzGV5_yrag,large
디어다빈_영양사의 다이어트,UC0NazDJj6HZnqXR9x9HiXEg,medium
크고싶은다람쥐,UCxa00N4-xMuNZqPbTfnwYww,small
닥터 코뿔소 Dr. Rhino,UC92kH-aQbWRSLW2fhYwlSEg,small
스튜디오 상상인,UCEqaIYcv-1ES142qB8-xAjw,large
건강산책,UCfYcEPkXbrH7U5UhIA6YPmg,medium
흥따Heungdda,UCbuNfuYVnPIRIce8VEzntGw,medium
소년간호사,UCMbbDgoXKietxiTP16_3lFg,medium
